NT	owner	website	email	nassos	mta
NT12044	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12045	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12046	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12047	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12048			typas@embl.de	x	
NT12049	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12050	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12051	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12052			typas@embl.de	x	
NT12053	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12054	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12055	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12056	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12057	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12058	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12059	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12060			typas@embl.de	x	
NT12061			typas@embl.de	x	
NT12062	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12063	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12064			typas@embl.de	x	
NT12065			typas@embl.de	x	
NT12066	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12067	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12068	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12069	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12070	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12071	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12072			typas@embl.de	x	
NT12073	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12074	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12075			typas@embl.de	x	
NT12076	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12077	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12078	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12079	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12080	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12081			typas@embl.de	x	
NT12082			typas@embl.de	x	
NT12083	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12084			typas@embl.de	x	
NT12085	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12086	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12087			typas@embl.de	x	
NT12088	STEC center	http://shigatox.net/new/reference-strains/ecor.html	stec@cvm.msu.edu		
NT12089	DSMZ	https://www.dsmz.de/	contact@dsmz.de	x	
NT12090	DSMZ	https://www.dsmz.de/	contact@dsmz.de	x	
NT12091	DSMZ	https://www.dsmz.de/	contact@dsmz.de	x	
NT12092	DSMZ	https://www.dsmz.de/	contact@dsmz.de	x	
NT12093	DSMZ	https://www.dsmz.de/	contact@dsmz.de	x	
NT12094	DSMZ	https://www.dsmz.de/	contact@dsmz.de	x	
NT12095	DSMZ	https://www.dsmz.de/	contact@dsmz.de	x	
NT12096	Catharina Svanborg	http://www.med.lu.se/english/department_of_laboratory_medicine/mig/research_groups/the_svanborg_group/	catharina.svanborg@med.lu.se		
NT12097	Scott Hultgren	http://hultgrenlab.wustl.edu/	hultgren@borcim.wustl.edu		
NT12098	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12099	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12100	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12101	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12102	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12103	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12104	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12105	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12106	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12107	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12108	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12109	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12110	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12111	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12112	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12113	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12114	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12115	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12116	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12117	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12118	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12119	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12120	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12121	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12122	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12123	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12124	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12125	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12126	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12127	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12128	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12129	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12130	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12131	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12132	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12133	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12134	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12135	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12136	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12137	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12138	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12139	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12140	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12141	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12142	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12143	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12144	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12145	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12146	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12147	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12148	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12149	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12150	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12151	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12152	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12153	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12154	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12155	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12156	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12157	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12158	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12159	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12160	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12161	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12162	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12163	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12164	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12165	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12166	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12167	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12168	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12169	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12170	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12171	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12172	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12173	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12174	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12175	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12176	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12177	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12178	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12179	Erick Denamur	http://www.iame-research.center/eq2/research-interests/	erick.denamur@inserm.fr		
NT12180	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12181	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12182	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12183	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12184	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12185	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12186	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12187	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12188	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12189	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12190	Lilia Perfeito	http://www.igc.gulbenkian.pt/lperfeito	lperfeito@igc.gulbenkian.pt		
NT12191			typas@embl.de	x	
NT12192			typas@embl.de	x	
NT12193			typas@embl.de	x	
NT12194			typas@embl.de	x	
NT12195			typas@embl.de	x	
NT12196			typas@embl.de	x	
NT12197	Matthew Upton	https://www.plymouth.ac.uk/staff/mathew-upton	mathew.upton@plymouth.ac.uk		
NT12198	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12199	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12200	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12201	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12202	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12203	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12204	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12205	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12206	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12207	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12208	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12209	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12210	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12211	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12212	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12213	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12214	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12215	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12216	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12217	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12218	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12219	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12220	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12221	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12222	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12223	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12224	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12225	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12226	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12227	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12228	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12229	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12230	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12231	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12232	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12233	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12234	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12235	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12236	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12237	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12238	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12239	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12240	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12241	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12242	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12243	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12244	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12245	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12246	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12247	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12248	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12249	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12250	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12251	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12252	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12253	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12254	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12255	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12256	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12257	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12258	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12259	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12260	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12261	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12262	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12263	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12264	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12265	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12266	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12267	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12268	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12269	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12270	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12271	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12272	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12273	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12274	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12275	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12276	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12277	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12278	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12279	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12280	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12281	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12282	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12283	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12284	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12285	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12286	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12287	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12288	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12289	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12290	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12291	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12292	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12293	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12294	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12295	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12296	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12297	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12298	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12299	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12300	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12301	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12302	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12303	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12304	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12305	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12306	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12307	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12308	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12309	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12310	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12311	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12312	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12313	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12314	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12315	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12316	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12317	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12318	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12319	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12320	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12321	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12322	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12323	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12324	Paweł Pusz		p.pusz@wnb.uz.zgora.pl		
NT12325	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12326	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12327	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12328	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12329	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12330	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12331	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12332	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12333	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12334	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12335	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12336	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12337	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12338	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12339	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12340	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12341	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12342	BEI resources	https://www.beiresources.org/	contact@beiresources.org, 		x
NT12343			typas@embl.de	x	
NT12344	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12345	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12346	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12347	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12348	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12349	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12350	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12351	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12352	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12353	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12354	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12355	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12356	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
NT12357	Peter Schierack		Peter.Schierack@HS-Lausitz.de		
