b0001	thrL	ECK0001	P0AD86
b0091	murC	ECK0092	P17952
b0092	ddlB	ECK0093	P07862
b0093	ftsQ	ECK0094	P06136
b0094	ftsA	ECK0095	P0ABH0
b0095	ftsZ	ECK0096	P0A9A6
b0096	lpxC	ECK0097	P0A725
b0097	secM	ECK0098	P62395
b0098	secA	ECK0099	P10408
b0099	mutT	ECK0100	P08337
b0101	yacG	ECK0101	P0A8H8
b0102	zapD	ECK0102	P36680
b0103	coaE	ECK0103	P0A6I9
b0104	guaC	ECK0104	P60560
b0106	hofC	ECK0105	P36646
b0107	hofB	ECK0106	P36645
b0108	ppdD	ECK0107	P36647
b0109	nadC	ECK0108	P30011
b0110	ampD	ECK0109	P13016
b0111	ampE	ECK0110	P0AE14
b0112	aroP	ECK0111	P15993
b0113	pdhR	ECK0112	P0ACL9
b0114	aceE	ECK0113	P0AFG8
b0115	aceF	ECK0114	P06959
b0116	lpd	ECK0115	P0A9P0
b0117	yacH	ECK0116	P36682
b0118	acnB	ECK0117	P36683
b0119	yacL	ECK0118	P0A8E5
b0120	speD	ECK0119	P0A7F6
b0121	speE	ECK0120	P09158
b0122	yacC	ECK0121	P0AA95
b0123	cueO	ECK0122	P36649
b0124	gcd	ECK0123	P15877
b0125	hpt	ECK0124	P0A9M2
b0126	can	ECK0125	P61517
b0127	yadG	ECK0126	P36879
b0128	yadH	ECK0127	P0AFN6
b0129	yadI	ECK0128	P36881
b0130	yadE	ECK0129	P31666
b0131	panD	ECK0130	P0A790
b0132	yadD	ECK0131	P31665
b0133	panC	ECK0132	P31663
b0134	panB	ECK0133	P31057
b0135	yadC	ECK0134	P31058
b0136	yadK	ECK0135	P37016
b0137	yadL	ECK0136	P37017
b0138	yadM	ECK0137	P37018
b0139	htrE	ECK0138	P33129
b0140	yadV	ECK0139	P33128
b0141	yadN	ECK0140	P37050
b0142	folK	ECK0141	P26281
b0143	pcnB	ECK0142	P0ABF1
b0144	gluQ	ECK0143	P27305
b0145	dksA	ECK0144	P0ABS1
b0146	sfsA	ECK0145	P0A823
b0147	ligT	ECK0146	P37025
b0148	hrpB	ECK0147	P37024
b0149	mrcB	ECK0148	P02919
b0150	fhuA	ECK0149	P06971
b0151	fhuC	ECK0150	P07821
b0152	fhuD	ECK0151	P07822
b0153	fhuB	ECK0152	P06972
b0154	hemL	ECK0153	P23893
b0155	clcA	ECK0154	P37019
b0156	erpA	ECK0155	P0ACC3
b0157	yadS	ECK0156	P0AFP0
b0158	btuF	ECK0157	P37028
b0159	mtn	ECK0158	P0AF12
b0160	dgt	ECK0159	P15723
b0161	degP	ECK0160	P0C0V0
b0162	cdaR	ECK0161	P37047
b0163	yaeH	ECK0162	P62768
b0164	yaeI	ECK0163	P37049
b0166	dapD	ECK0164	P0A9D8
b0167	glnD	ECK0165	P27249
b0168	map	ECK0166	P0AE18
b0169	rpsB	ECK0168	P0A7V0
b0170	tsf	ECK0169	P0A6P1
b0171	pyrH	ECK0170	P0A7E9
b0172	frr	ECK0171	P0A805
b0173	dxr	ECK0172	P45568
b0174	ispU	ECK0173	P60472
b0175	cdsA	ECK0174	P0ABG1
b0176	rseP	ECK0175	P0AEH1
b0177	bamA	ECK0176	P0A940
b0178	skp	ECK0177	P0AEU7
b0179	lpxD	ECK0178	P21645
b0180	fabZ	ECK0179	P0A6Q6
b0181	lpxA	ECK0180	P0A722
b0182	lpxB	ECK0181	P10441
b0183	rnhB	ECK0182	P10442
b0184	dnaE	ECK0183	P10443
b0185	accA	ECK0184	P0ABD5
b0186	ldcC	ECK0185	P52095
b0187	yaeR	ECK0186	P52096
b0188	tilS	ECK0187	P52097
b0189	rof	ECK0188	P0AFW8
b4406	yaeP	ECK0189	P0A8K5
b0190	yaeQ	ECK0190	P0AA97
b0191	arfB	ECK0191	P40711
b0192	nlpE	ECK0192	P40710
b0193	yaeF	ECK0193	P37056
b0194	proS	ECK0194	P16659
b0195	tsaA	ECK0195	P28634
b0196	rcsF	ECK0196	P69411
b0197	metQ	ECK0197	P28635
b0198	metI	ECK0198	P31547
b0199	metN	ECK0199	P30750
b0200	gmhB	ECK0200	P63228
b0207	dkgB	ECK0207	P30863
b0208	yafC	ECK0208	P30864
b0209	yafD	ECK0209	P0A8U2
b0210	yafE	ECK0210	P30866
b0211	mltD	ECK0211	P0AEZ7
b0212	gloB	ECK0212	P0AC84
b0213	yafS	ECK0213	P75672
b0214	rnhA	ECK0214	P0A7Y4
b0215	dnaQ	ECK0215	P03007
b0217	yafT	ECK0217	P77339
b4586	ykfM	ECK4397	A5A605
b0219	yafV	ECK0220	Q47679
b0220	ivy	ECK0221	P0AD59
b0221	fadE	ECK0222	Q47146
b0222	gmhA	ECK0223	P63224
b0223	yafJ	ECK0224	Q47147
b0224	yafK	ECK0225	P0AA99
b0225	yafQ	ECK0226	Q47149
b0226	dinJ	ECK0227	Q47150
b0227	yafL	ECK0228	Q47151
b0228	rayT	ECK0229	Q47152
b0231	dinB	ECK0232	Q47155
b0232	yafN	ECK0233	Q47156
b0233	yafO	ECK0234	Q47157
b0234	yafP	ECK0235	Q47158
b0237	pepD	ECK0238	P15288
b0238	gpt	ECK0239	P0A9M5
b0239	frsA	ECK0240	P04335
b0241	phoE	ECK0242	P02932
b0242	proB	ECK0243	P0A7B5
b0243	proA	ECK0244	P07004
b0245	ykfI	ECK0246	P77692
b0246	yafW	ECK0247	Q47684
b4504	ykfH	ECK0248	Q9XB42
b0247	ykfG	ECK0249	Q47685
b0248	yafX	ECK0250	P75676
b0249	ykfF	ECK0251	P75677
b0250	ykfB	ECK0252	P77162
b0251	yafY	ECK0253	P77365
b0252	yafZ	ECK0254	P77206
b0253	ykfA	ECK0255	P75678
b0254	perR	ECK0256	Q57083
b0256	insI1	ECK0258	P0CF88
b0259	insH1	ECK0261	P0CE49
b0260	mmuP	ECK0262	Q47689
b0261	mmuM	ECK0263	Q47690
b0262	afuC	ECK0264	P37009
b0264	insB1	ECK0022	P0CF26
b0265	insA	ECK4521	P0CF08
b0267	yagA	ECK0268	P37007
b0268	yagE	ECK0269	P75682
b0269	yagF	ECK0270	P77596
b0270	yagG	ECK0271	P75683
b0271	yagH	ECK0272	P77713
b0272	yagI	ECK0273	P77300
b0273	argF	ECK0274	P06960
b0274	insB1	ECK0022	P0CF27
b0275	insA	ECK4523	P0CF09
b0277	yagK	ECK0276	P77657
b0278	yagL	ECK0277	P77607
b0279	yagM	ECK0278	P71296
b0280	yagN	ECK0279	P71297
b0281	intF	ECK0280	P71298
b0283	paoD	ECK0282	P77183
b0284	paoC	ECK0283	P77489
b0285	paoB	ECK0284	P77324
b0286	paoA	ECK0285	P77165
b0287	yagU	ECK0286	P0AAA1
b0288	ykgJ	ECK0287	P0AAL9
b0289	ecpE	ECK0288	P77263
b0290	ecpD	ECK0289	P77694
b0291	ecpC	ECK0290	P77802
b0292	ecpB	ECK0291	P77188
b0293	ecpA	ECK0292	P0AAA3
b0294	ecpR	ECK0293	P71301
b0295	ykgL	ECK0294	P56257
b4506	ykgO	ECK0295	Q2EEQ2
b0296	ykgM	ECK0296	P0A7N1
b4671	ykgR	ECK4486	C1P5Z8
b0298	insE1	ECK0298	P0CF66
b0299	insF1	ECK0299	P0CF79
b0301	rclC	ECK0301	P75685
b0303	rclB	ECK0302	P75687
b0304	rclA	ECK0303	P77212
b0305	rclR	ECK0304	P77379
b0306	ykgE	ECK0305	P77252
b0307	ykgF	ECK0306	P77536
b0308	ykgG	ECK0307	P77433
b0310	ykgH	ECK0308	P77180
b0311	betA	ECK0309	P17444
b0312	betB	ECK0310	P17445
b0313	betI	ECK0311	P17446
b0314	betT	ECK0312	P0ABC9
b0315	yahA	ECK0313	P21514
b0316	yahB	ECK0314	P77700
b0317	yahC	ECK0315	P77219
b0318	yahD	ECK0316	P77736
b0319	yahE	ECK0317	P77297
b0320	yahF	ECK0318	P77187
b0321	yahG	ECK0319	P77221
b0323	yahI	ECK0321	P77624
b0324	yahJ	ECK0322	P77554
b0325	yahK	ECK0323	P75691
b0326	yahL	ECK0324	P77393
b0327	yahM	ECK0325	P75692
b0328	yahN	ECK0326	P75693
b0329	yahO	ECK0327	P75694
b0330	prpR	ECK0328	P77743
b0331	prpB	ECK0329	P77541
b0333	prpC	ECK0330	P31660
b0334	prpD	ECK0331	P77243
b0335	prpE	ECK0332	P77495
b0336	codB	ECK0333	P0AA82
b0337	codA	ECK0334	P25524
b0338	cynR	ECK0335	P27111
b0339	cynT	ECK0336	P0ABE9
b0340	cynS	ECK0337	P00816
b0341	cynX	ECK0338	P17583
b0342	lacA	ECK0339	P07464
b0343	lacY	ECK0340	P02920
b0344	lacZ	ECK0341	P00722
b0345	lacI	ECK0342	P03023
b0346	mhpR	ECK0343	P77569
b0347	mhpA	ECK0344	P77397
b0348	mhpB	ECK0345	P0ABR9
b0349	mhpC	ECK0346	P77044
b0350	mhpD	ECK0347	P77608
b0351	mhpF	ECK0348	P77580
b0352	mhpE	ECK0349	P51020
b0353	mhpT	ECK0350	P77589
b0354	yaiL	ECK0351	P51024
b0355	frmB	ECK0352	P51025
b0356	frmA	ECK0353	P25437
b0357	frmR	ECK0354	P0AAP3
b0358	yaiO	ECK0355	Q47534
b0360	insC1	ECK0357	P0CF40
b0361	insD1	ECK0358	P0CF53
b0363	yaiP	ECK0360	Q47536
b0364	yaiS	ECK0361	P71311
b0365	tauA	ECK0362	Q47537
b0366	tauB	ECK0363	Q47538
b0367	tauC	ECK0364	Q47539
b0368	tauD	ECK0365	P37610
b0369	hemB	ECK0366	P0ACB2
b0372	insF1	ECK0299	P0CF80
b0373	insE1	ECK0298	P0CF67
b0375	yaiV	ECK0370	P0AAP5
b0376	ampH	ECK0371	P0AD70
b0377	sbmA	ECK0372	P0AFY6
b0378	yaiW	ECK0373	P77562
b0379	yaiY	ECK0374	P0AAP7
b0380	yaiZ	ECK0375	P0AAQ0
b0381	ddlA	ECK0376	P0A6J8
b0382	iraP	ECK0377	P0AAN9
b0383	phoA	ECK0378	P00634
b0384	psiF	ECK0379	P0AFM4
b0385	yaiC	ECK0380	P0AAP1
b0386	proC	ECK0381	P0A9L8
b0387	yaiI	ECK0382	P0A8D3
b0388	aroL	ECK0383	P0A6E1
b0389	yaiA	ECK0384	P0AAN5
b0390	aroM	ECK0385	P0AE28
b0391	yaiE	ECK0386	P0C037
b0393	rdgC	ECK0388	P36767
b0394	mak	ECK0389	P23917
b0396	araJ	ECK0390	P23910
b0397	sbcC	ECK0391	P13458
b0398	sbcD	ECK0392	P0AG76
b0399	phoB	ECK0393	P0AFJ5
b0400	phoR	ECK0394	P08400
b0401	brnQ	ECK0395	P0AD99
b0402	proY	ECK0396	P0AAE2
b0403	malZ	ECK0397	P21517
b0404	acpH	ECK0398	P21515
b0405	queA	ECK0399	P0A7F9
b0406	tgt	ECK0400	P0A847
b0407	yajC	ECK0401	P0ADZ7
b0408	secD	ECK0402	P0AG90
b0409	secF	ECK0403	P0AG93
b0410	yajD	ECK0404	P0AAQ2
b0411	tsx	ECK0405	P0A927
b0412	yajI	ECK0406	P46122
b0413	nrdR	ECK0407	P0A8D0
b0414	ribD	ECK0408	P25539
b0415	ribE	ECK0409	P61714
b0416	nusB	ECK0410	P0A780
b0417	thiL	ECK0411	P0AGG0
b0418	pgpA	ECK0412	P18200
b0419	yajO	ECK0413	P77735
b0420	dxs	ECK0414	P77488
b0421	ispA	ECK0415	P22939
b0422	xseB	ECK0416	P0A8G9
b0423	thiI	ECK0417	P77718
b0424	yajL	ECK0418	Q46948
b0425	panE	ECK0419	P0A9J4
b0426	yajQ	ECK0420	P0A8E7
b0427	yajR	ECK0421	P77726
b0428	cyoE	ECK0422	P0AEA5
b0429	cyoD	ECK0423	P0ABJ6
b0430	cyoC	ECK0424	P0ABJ3
b0431	cyoB	ECK0425	P0ABI8
b0432	cyoA	ECK0426	P0ABJ1
b0433	ampG	ECK0427	P0AE16
b0434	yajG	ECK0428	P0ADA5
b0435	bolA	ECK0429	P0ABE2
b0436	tig	ECK0430	P0A850
b0437	clpP	ECK0431	P0A6G7
b0438	clpX	ECK0432	P0A6H1
b0439	lon	ECK0433	P0A9M0
b0440	hupB	ECK0434	P0ACF4
b0441	ppiD	ECK0435	P0ADY1
b0442	ybaV	ECK0436	P0AAR8
b0443	fadM	ECK0437	P77712
b0444	queC	ECK0438	P77756
b0445	ybaE	ECK0439	P46890
b0446	cof	ECK0440	P46891
b0447	ybaO	ECK0441	P0ACJ5
b0448	mdlA	ECK0442	P77265
b0449	mdlB	ECK0443	P0AAG5
b0450	glnK	ECK0444	P0AC55
b0451	amtB	ECK0445	P69681
b0452	tesB	ECK0446	P0AGG2
b0453	ybaY	ECK0447	P77717
b0454	ybaZ	ECK0448	P0AFP2
b0456	ybaA	ECK0450	P0AAQ6
b0457	ylaB	ECK0451	P77473
b0458	ylaC	ECK0452	P0AAS0
b0459	maa	ECK0453	P77791
b0460	hha	ECK0454	P0ACE3
b0461	tomB	ECK0455	P0AAR0
b0462	acrB	ECK0456	P31224
b0463	acrA	ECK0457	P0AE06
b0464	acrR	ECK0458	P0ACS9
b0465	mscK	ECK0459	P77338
b0466	ybaM	ECK0460	P45807
b0467	priC	ECK0461	P23862
b0468	ybaN	ECK0462	P0AAR5
b0469	apt	ECK0463	P69503
b0470	dnaX	ECK0464	P06710
b0471	ybaB	ECK0465	P0A8B5
b0472	recR	ECK0466	P0A7H6
b0473	htpG	ECK0467	P0A6Z3
b0474	adk	ECK0468	P69441
b0475	hemH	ECK0469	P23871
b0476	aes	ECK0470	P23872
b0477	gsk	ECK0471	P0AEW6
b0478	ybaL	ECK0472	P39830
b0479	fsr	ECK0473	P52067
b0480	ushA	ECK0474	P07024
b0481	ybaK	ECK0475	P0AAR3
b0482	ybaP	ECK0476	P77301
b0483	ybaQ	ECK0477	P0A9T6
b0484	copA	ECK0478	Q59385
b0485	glsA	ECK0479	P77454
b0486	ybaT	ECK0480	P77400
b0487	cueR	ECK0481	P0A9G4
b0488	ybbJ	ECK0482	P0AAS3
b0489	qmcA	ECK0483	P0AA53
b0490	fetA	ECK0484	P77279
b0491	fetB	ECK0485	P77307
b0492	ybbN	ECK0486	P77395
b0493	ybbO	ECK0487	P0AFP4
b0494	tesA	ECK0488	P0ADA1
b0495	ybbA	ECK0489	P0A9T8
b0496	ybbP	ECK0490	P77504
b0497	rhsD	ECK0491	P16919
b0498	ybbC	ECK0492	P33668
b0503	mnmH	ECK0496	P33667
b0504	allS	ECK0497	P0ACR0
b0505	allA	ECK0498	P77731
b0506	allR	ECK0499	P0ACN4
b0507	gcl	ECK0500	P0AEP7
b0508	hyi	ECK0501	P30147
b0509	glxR	ECK0502	P77161
b0511	ybbW	ECK0504	P75712
b0512	allB	ECK0505	P77671
b0513	ybbY	ECK0506	P77328
b0514	glxK	ECK0507	P77364
b0515	allE	ECK0508	P75713
b0516	allC	ECK0509	P77425
b0517	allD	ECK0510	P77555
b0518	fdrA	ECK0511	Q47208
b4572	ylbE	ECK0512	P77129
b0520	ylbF	ECK0513	P0AAS5
b0521	ybcF	ECK0514	P37306
b0522	purK	ECK0515	P09029
b0523	purE	ECK0516	P0AG18
b0524	lpxH	ECK0517	P43341
b0525	ppiB	ECK0518	P23869
b0526	cysS	ECK0519	P21888
b0527	ybcI	ECK0520	P45570
b0528	ybcJ	ECK0521	P0AAS7
b0529	folD	ECK0522	P24186
b0530	sfmA	ECK0523	P0ABW5
b0531	sfmC	ECK0524	P77249
b0532	sfmD	ECK0525	P77468
b0533	sfmH	ECK0526	P75715
b0534	sfmF	ECK0527	P38052
b0535	sfmZ	ECK0528	P0AEL8
b0537	intD	ECK0530	P24218
b0540	insE1	ECK0298	P0CF68
b0541	insF1	ECK0299	P0CF81
b0543	emrE	ECK0534	P23895
b0544	ybcK	ECK0535	P77698
b0545	ybcL	ECK0536	P77368
b0546	ybcM	ECK0537	P77634
b4588	ylcH	ECK4398	Q47268
b0547	ybcN	ECK0538	Q47269
b0548	ninE	ECK0539	Q47270
b0549	ybcO	ECK0540	P68661
b0550	rusA	ECK0541	P0AG74
b4509	ylcG	ECK0542	Q47272
b0551	quuD	ECK0543	Q47274
b0552	insH1	ECK0261	P0CE50
b0554	essD	ECK0545	P0A9R2
b0555	rrrD	ECK0546	P78285
b0556	rzpD	ECK0547	P75719
b4510	rzoD	ECK0548	P58041
b0557	borD	ECK0549	P77330
b0558	ybcV	ECK0550	P77598
b0559	ybcW	ECK0551	P64435
b4589	ylcI	ECK4399	A5A607
b0560	nohD	ECK0552	P31062
b0564	appY	ECK0556	P05052
b0565	ompT	ECK0557	P09169
b0566	envY	ECK0558	P10805
b0567	ybcH	ECK0559	P37325
b0568	nfrA	ECK0560	P31600
b0569	nfrB	ECK0561	P0AFA5
b0570	cusS	ECK0562	P77485
b0571	cusR	ECK0563	P0ACZ8
b0572	cusC	ECK0564	P77211
b0573	cusF	ECK0565	P77214
b0574	cusB	ECK0566	P77239
b0575	cusA	ECK0567	P38054
b0576	pheP	ECK0568	P24207
b0577	ybdG	ECK0569	P0AAT4
b0578	nfsB	ECK0570	P38489
b0579	ybdF	ECK0571	P0AAT2
b0580	ybdJ	ECK0572	P77506
b0581	ybdK	ECK0573	P77213
b4415	hokE	ECK0574	P77091
b0582	insL1	ECK0016	P0CF92
b0583	entD	ECK0575	P19925
b0584	fepA	ECK0576	P05825
b0585	fes	ECK0577	P13039
b4511	ybdZ	ECK0578	P18393
b0586	entF	ECK0579	P11454
b0587	fepE	ECK0580	P26266
b0588	fepC	ECK0581	P23878
b0589	fepG	ECK0582	P23877
b0590	fepD	ECK0583	P23876
b0591	entS	ECK0584	P24077
b0592	fepB	ECK0585	P0AEL6
b0593	entC	ECK0586	P0AEJ2
b0594	entE	ECK0587	P10378
b0595	entB	ECK0588	P0ADI4
b0596	entA	ECK0589	P15047
b0597	entH	ECK0590	P0A8Y8
b0598	cstA	ECK0591	P15078
b4512	ybdD	ECK0592	P0AAS9
b0599	ybdH	ECK0593	P45579
b0600	ybdL	ECK0594	P77806
b0601	ybdM	ECK0595	P77174
b0602	ybdN	ECK0596	P77216
b0603	ybdO	ECK0597	P77746
b0604	dsbG	ECK0598	P77202
b0605	ahpC	ECK0599	P0AE08
b0606	ahpF	ECK0600	P35340
b0607	uspG	ECK0601	P39177
b0608	ybdR	ECK0602	P77316
b0610	rnk	ECK0603	P0AFW4
b0611	rna	ECK0604	P21338
b0612	citT	ECK0605	P0AE74
b0613	citG	ECK0606	P77231
b0614	citX	ECK0607	P0A6G5
b0615	citF	ECK0608	P75726
b0616	citE	ECK0609	P0A9I1
b0617	citD	ECK0610	P69330
b0618	citC	ECK0611	P77390
b0619	citA	ECK0612	P77510
b0620	citB	ECK0613	P0AEF4
b0621	dcuC	ECK0614	P0ABP3
b0622	pagP	ECK0615	P37001
b0623	cspE	ECK0616	P0A972
b0624	flc	ECK0617	P37002
b0627	tatE	ECK0620	P0A843
b0628	lipA	ECK0621	P60716
b0629	ybeF	ECK0622	P30979
b0630	lipB	ECK0623	P60720
b0631	ybeD	ECK0624	P0A8J4
b0632	dacA	ECK0625	P0AEB2
b0633	rlpA	ECK0626	P10100
b0634	mrdB	ECK0627	P0ABG7
b0635	mrdA	ECK0628	P0AD65
b0636	rlmH	ECK0629	P0A8I8
b0637	rsfS	ECK0630	P0AAT6
b0638	cobC	ECK0631	P52086
b0639	nadD	ECK0632	P0A752
b0640	holA	ECK0633	P28630
b0641	lptE	ECK0634	P0ADC1
b0642	leuS	ECK0635	P07813
b0643	ybeL	ECK0636	P0AAT9
b0644	ybeQ	ECK0637	P77234
b0645	ybeR	ECK0638	P77627
b0646	djlB	ECK0639	P77381
b0647	ybeT	ECK0640	P77296
b0648	ybeU	ECK0641	P77427
b0649	djlC	ECK0642	P77359
b0650	hscC	ECK0643	P77319
b0651	rihA	ECK0644	P41409
b0652	gltL	ECK0645	P0AAG3
b0653	gltK	ECK0646	P0AER5
b0654	gltJ	ECK0647	P0AER3
b0655	gltI	ECK0648	P37902
b0656	insH1	ECK0261	P0CE51
b0657	lnt	ECK0649	P23930
b0658	ybeX	ECK0650	P0AE78
b0659	ybeY	ECK0651	P0A898
b0660	ybeZ	ECK0652	P0A9K3
b0661	miaB	ECK0653	P0AEI1
b0662	ubiF	ECK0654	P75728
b0674	asnB	ECK0662	P22106
b0675	umpH	ECK0663	P0AF24
b0676	nagC	ECK0664	P0AF20
b0677	nagA	ECK0665	P0AF18
b0678	nagB	ECK0666	P0A759
b0679	nagE	ECK0667	P09323
b0680	glnS	ECK0668	P00962
b0681	chiP	ECK0669	P75733
b0682	chiQ	ECK0670	P75734
b0683	fur	ECK0671	P0A9A9
b4637	uof	ECK4461	A8DYP9
b0684	fldA	ECK0672	P61949
b0685	ybfE	ECK0673	P0AAU7
b0686	ybfF	ECK0674	P75736
b0687	seqA	ECK0675	P0AFY8
b0688	pgm	ECK0676	P36938
b0689	ybfP	ECK0677	P75737
b0692	potE	ECK0680	P0AAF1
b0693	speF	ECK0681	P24169
b4590	ybfK	ECK4400	P46121
b0694	kdpE	ECK0682	P21866
b0695	kdpD	ECK0683	P21865
b0696	kdpC	ECK0684	P03961
b0697	kdpB	ECK0685	P03960
b0698	kdpA	ECK0686	P03959
b4513	kdpF	ECK0687	P36937
b0699	ybfA	ECK0688	P0AAU2
b0700	rhsC	ECK0689	P16918
b0702	ybfB	ECK0690	P0AAU5
b0704	ybfC	ECK0692	P28915
b0706	ybfD	ECK0695	P28916
b0707	ybgA	ECK0696	P24252
b0708	phr	ECK0697	P00914
b0709	dtpD	ECK0698	P75742
b0710	ybgI	ECK0699	P0AFP6
b0711	ybgJ	ECK0700	P0AAV4
b0712	ybgK	ECK0701	P75745
b0713	ybgL	ECK0702	P75746
b0714	nei	ECK0703	P50465
b0715	abrB	ECK0704	P75747
b0716	ybgO	ECK0705	P75748
b0717	ybgP	ECK0706	P75749
b0718	ybgQ	ECK0707	P75750
b0719	ybgD	ECK0708	P37909
b0720	gltA	ECK0709	P0ABH7
b0721	sdhC	ECK0710	P69054
b0722	sdhD	ECK0711	P0AC44
b0723	sdhA	ECK0712	P0AC41
b0724	sdhB	ECK0713	P07014
b0726	sucA	ECK0714	P0AFG3
b0727	sucB	ECK0715	P0AFG6
b0728	sucC	ECK0716	P0A836
b0729	sucD	ECK0717	P0AGE9
b0730	mngR	ECK0718	P13669
b0731	mngA	ECK0719	P54745
b0732	mngB	ECK0720	P54746
b0733	cydA	ECK0721	P0ABJ9
b0734	cydB	ECK0722	P0ABK2
b4515	cydX	ECK0723	P56100
b0735	ybgE	ECK0724	P0AAV0
b0736	ybgC	ECK0725	P0A8Z3
b0737	tolQ	ECK0726	P0ABU9
b0738	tolR	ECK0727	P0ABV6
b0739	tolA	ECK0728	P19934
b0740	tolB	ECK0729	P0A855
b0741	pal	ECK0730	P0A912
b0742	ybgF	ECK0731	P45955
b0750	nadA	ECK0739	P11458
b0751	pnuC	ECK0740	P0AFK2
b0752	zitB	ECK0741	P75757
b0753	ybgS	ECK0742	P0AAV6
b0754	aroG	ECK0743	P0AB91
b0755	gpmA	ECK0744	P62707
b0756	galM	ECK0745	P0A9C3
b0757	galK	ECK0746	P0A6T3
b0758	galT	ECK0747	P09148
b0759	galE	ECK0748	P09147
b0760	modF	ECK0749	P31060
b0761	modE	ECK0750	P0A9G8
b0762	acrZ	ECK0751	P0AAW9
b0763	modA	ECK0752	P37329
b0764	modB	ECK0753	P0AF01
b0765	modC	ECK0754	P09833
b0766	ybhA	ECK0755	P21829
b0767	pgl	ECK0756	P52697
b0768	ybhD	ECK0757	P52696
b0769	ybhH	ECK0758	P0AAV8
b0770	ybhI	ECK0759	P75763
b0771	ybhJ	ECK0760	P75764
b0772	ybhC	ECK0761	P46130
b0773	ybhB	ECK0762	P12994
b0774	bioA	ECK0763	P12995
b0775	bioB	ECK0764	P12996
b0776	bioF	ECK0765	P12998
b0777	bioC	ECK0766	P12999
b0778	bioD	ECK0767	P13000
b0779	uvrB	ECK0768	P0A8F8
b0780	ybhK	ECK0769	P75767
b0781	moaA	ECK0770	P30745
b0782	moaB	ECK0771	P0AEZ9
b0783	moaC	ECK0772	P0A738
b0784	moaD	ECK0773	P30748
b0785	moaE	ECK0774	P30749
b0786	ybhL	ECK0775	P0AAC4
b0787	ybhM	ECK0776	P75769
b0788	ybhN	ECK0777	P75770
b0789	clsB	ECK0778	P0AA84
b0790	ybhP	ECK0779	P0AAW1
